#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL
Synechocystis	Unknown	PCC 6714	NZ_CP007542.1	0	19410	terpene	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP007542.1&start=0&end=19410
Synechocystis	Unknown	PCC 6714	NZ_CP007542.1	365553	386369	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP007542.1&start=365553&end=386369
Synechocystis	Unknown	PCC 6714	NZ_CP007542.1	2224175	2245189	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP007542.1&start=2224175&end=2245189
Synechococcus	Unknown	BDU 130192	NZ_PCGE01000006.1	63839	99304	ni-siderophore	false	synechobactin C9/synechobactin C11/synechobactin 13/synechobactin 14/synechobactin 16/synechobactin A/synechobactin B/synechobactin C	57	BGC0002470	https://antismash-db.secondarymetabolites.org/area?record=NZ_PCGE01000006.1&start=63839&end=99304
Synechococcus	Unknown	BDU 130192	NZ_PCGE01000011.1	6886	50171	nrps-like	false	minutissamide A/minutissamide C/minutissamide D	15	BGC0001952	https://antismash-db.secondarymetabolites.org/area?record=NZ_PCGE01000011.1&start=6886&end=50171
Synechococcus	Unknown	BDU 130192	NZ_PCGE01000062.1	79191	127357	t1pks nrps-like hybrid	false	1-nonadecene/(14Z)-1,14-nonadecadiene	100	BGC0001160	https://antismash-db.secondarymetabolites.org/area?record=NZ_PCGE01000062.1&start=79191&end=127357
Synechococcus	Unknown	BDU 130192	NZ_PCGE01000061.1	261339	282281	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_PCGE01000061.1&start=261339&end=282281
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	112364	154912	lanthipeptide-class-v	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=112364&end=154912
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	912464	935611	lanthipeptide-class-ii	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=912464&end=935611
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	1260017	1305957	nrps	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=1260017&end=1305957
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	1707749	1728580	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=1707749&end=1728580
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	1819732	1841649	terpene	false	hexose-palythine-serine/hexose-shinorine	28	BGC0001615	https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=1819732&end=1841649
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	2171746	2255162	nrps t1pks hybrid	false	anachelin	30	BGC0002532	https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=2171746&end=2255162
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	2943803	3017929	t1pks lanthipeptide-class-ii lap hybrid	false	nostolysamide A/nostolysamide B	66	BGC0002699	https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=2943803&end=3017929
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	3244815	3291321	mycosporine-like	false	hexose-palythine-serine/hexose-shinorine	42	BGC0001615	https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=3244815&end=3291321
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	3963973	4066291	nrps hgle-ks t1pks hybrid	false	minutissamide A/minutissamide C/minutissamide D	46	BGC0001952	https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=3963973&end=4066291
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	5381869	5402178	microviridin	false	microviridin 1688/microviridin 1739/microviridin 1748	25	BGC0002626	https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=5381869&end=5402178
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	5658660	5679629	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=5658660&end=5679629
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	5775454	5817602	nrps-like	false	minutissamide A/minutissamide C/minutissamide D	23	BGC0001952	https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=5775454&end=5817602
Nostoc	commune	NIES-4072	NZ_BDUD01000001.1	6075000	6085891	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_BDUD01000001.1&start=6075000&end=6085891
